satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,scope,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,efficiency_score
521.0,26,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,23,0.5555555555555556,20.03846153846154,0.6976744186046512,0.4999999999919355,0.5901639344238109,0.6093749999952394,0.5538461538433136,0.6060606060583104,0.7707100591715977
538.0,28,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,24,0.5555555555555556,19.214285714285715,0.6744186046511628,0.5483870967653486,0.6229508196695781,0.6249999999951172,0.5538461538433136,0.6212121212097682,0.6862244897959184
542.0,29,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,25,0.6111111111111112,18.689655172413794,0.6627906976744186,0.5483870967653486,0.6229508196695781,0.6249999999951172,0.6153846153814596,0.5909090909068526,0.6444708680142688
556.0,30,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,26,0.6111111111111112,18.533333333333335,0.6511627906976745,0.5161290322497399,0.6229508196695781,0.6562499999948731,0.6153846153814596,0.636363636361226,0.6177777777777779
573.0,32,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,27,0.6111111111111112,17.90625,0.627906976744186,0.564516129023153,0.6557377049153453,0.6718749999947511,0.6153846153814596,0.6515151515126837,0.5595703125
579.0,33,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,28,0.6111111111111112,17.545454545454547,0.6162790697674418,0.5806451612809573,0.6557377049153453,0.6718749999947511,0.5999999999969231,0.6818181818155992,0.5316804407713499
583.0,34,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,29,0.6666666666666666,17.147058823529413,0.6046511627906976,0.5806451612809573,0.6557377049153453,0.6718749999947511,0.6615384615350691,0.6515151515126837,0.504325259515571
590.0,35,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,30,0.6111111111111112,16.857142857142858,0.5930232558139535,0.564516129023153,0.672131147538229,0.687499999994629,0.6307692307659961,0.6818181818155992,0.4816326530612245
600.0,36,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,31,0.6666666666666666,16.666666666666668,0.5813953488372093,0.6290322580543705,0.6885245901611127,0.687499999994629,0.6615384615350691,0.6666666666641414,0.462962962962963
614.0,37,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,32,0.6666666666666666,16.594594594594593,0.5697674418604651,0.5967741935387617,0.6885245901611127,0.7187499999943848,0.6615384615350691,0.7121212121185148,0.4485025566106647
