satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,productivity,scope,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,score
515.0,25,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,22,20.6,0.5555555555555556,0.7093023255813954,0.48387096773413113,0.5901639344238109,0.6093749999952394,0.5692307692278501,0.5757575757553949,1.0
497.0,24,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,21,20.708333333333332,0.5,0.7209302325581395,0.46774193547632675,0.5737704918009272,0.5781249999954835,0.5230769230742407,0.5757575757553949,0.849838969404187
491.0,23,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,20,21.347826086956523,0.5,0.7325581395348837,0.4516129032185224,0.5737704918009272,0.5781249999954835,0.5384615384587772,0.5454545454524794,0.8236189876076456
480.0,21,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,19,22.857142857142858,0.5,0.7558139534883721,0.46774193547632675,0.5573770491780435,0.5624999999956055,0.5076923076897042,0.5454545454524794,0.7767425810904072
456.0,19,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,18,24.0,0.4444444444444444,0.7790697674418605,0.435483870960718,0.54098360655516,0.5312499999958497,0.4769230769206312,0.5151515151495638,0.6099033816425118
426.0,18,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,17,23.666666666666668,0.4444444444444444,0.7906976744186046,0.4032258064451093,0.491803278686509,0.4999999999960938,0.4769230769206312,0.46969696969519054,0.5601851851851853
425.0,17,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,16,25.0,0.4444444444444444,0.8023255813953488,0.435483870960718,0.491803278686509,0.5156249999959718,0.4307692307670217,0.48484848484664833,0.5507246376811594
402.0,16,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,15,25.125,0.3888888888888889,0.813953488372093,0.37096774192950055,0.4754098360636254,0.46874999999633793,0.44615384615155823,0.43939393939227506,0.4009661835748793
401.0,15,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,14,26.733333333333334,0.3888888888888889,0.8255813953488372,0.4032258064451093,0.4754098360636254,0.48437499999621586,0.3999999999979487,0.4545454545437328,0.3981481481481482
382.0,14,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,13,27.285714285714285,0.3888888888888889,0.8372093023255814,0.3870967741873049,0.4754098360636254,0.45312499999646,0.36923076922887577,0.42424242424081726,0.36982401656314695
