satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,scope,productivity,squandering,response,opportunity,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score
5354.5,792,4396.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,226,0.6190476190476191,6.7607323232323235,0.4410726887791108,5.55050505050505,1.218039126478617,0.6806722689072453,0.7630522088343199,0.766666666666202,0.7111913357397054,2.899456168171908
5271.5,782,4336.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,218,0.6190476190476191,6.741048593350383,0.4481298517995766,5.544757033248082,1.2157518450184501,0.6722689075627114,0.7389558232921835,0.7636363636359008,0.689530685920222,2.852197255381311
5292.5,788,4347.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,222,0.6190476190476191,6.716370558375634,0.44389555398729713,5.516497461928934,1.2175063262019783,0.6764705882349783,0.7389558232921835,0.7454545454540936,0.7111913357397054,2.8352225636679975
5205.5,769,4265.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,208,0.5952380952380952,6.769180754226268,0.4573041637261821,5.5461638491547465,1.2205158264947245,0.6680672268904444,0.7349397590351607,0.7393939393934913,0.6823104693137275,2.824705801853881
5269.7,780,4420.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,217,0.6190476190476191,6.756025641025641,0.44954128440366975,5.666666666666667,1.192239819004525,0.6680672268904444,0.7630522088343199,0.7757575757571056,0.7148014440429526,2.8207102485201743
5325.7,790,4485.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,225,0.6190476190476191,6.741392405063291,0.442484121383204,5.677215189873418,1.1874470457079151,0.6932773109240461,0.7710843373483653,0.7606060606055997,0.7256317689526943,2.810456205898282
5290.7,786,4431.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,220,0.6190476190476191,6.731170483460559,0.4453069865913903,5.637404580152672,1.1940194087113518,0.6722689075627114,0.7630522088343199,0.7575757575752985,0.7364620938624361,2.8030177150147013
5203.7,767,4349.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,205,0.5952380952380952,6.784485006518905,0.45871559633027525,5.670143415906128,1.1965279374568867,0.6638655462181775,0.7590361445772972,0.7515151515146961,0.7075812274364582,2.7923766448889884
5322.7,790,4511.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,224,0.6190476190476191,6.73759493670886,0.442484121383204,5.710126582278481,1.179937929505653,0.6806722689072453,0.7670682730913426,0.7727272727268044,0.7292418772559416,2.7914332313876407
5287.7,786,4457.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,219,0.6190476190476191,6.72735368956743,0.4453069865913903,5.6704834605597965,1.1863809737491586,0.6596638655459105,0.7590361445772972,0.7696969696965033,0.7400722021656833,2.7834039966622797
5200.7,767,4375.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,204,0.5952380952380952,6.78057366362451,0.45871559633027525,5.704041720990873,1.1887314285714286,0.6512605042013766,0.7550200803202745,0.7636363636359008,0.7111913357397054,2.772445910855367
5256.7,777,4440.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,215,0.5952380952380952,6.765379665379665,0.4516584333098095,5.714285714285714,1.1839414414414413,0.6764705882349783,0.7630522088343199,0.7484848484843949,0.7220216606494472,2.7616128625341507
5221.7,773,4386.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,210,0.5952380952380952,6.755109961190168,0.4544812985179958,5.6739974126778785,1.1905380756953945,0.6554621848736436,0.7550200803202745,0.7454545454540936,0.7328519855591888,2.7539232239697222
5134.7,754,4304.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,196,0.5714285714285714,6.809946949602121,0.46788990825688076,5.708222811671088,1.1930065055762082,0.6470588235291097,0.7510040160632517,0.7393939393934913,0.703971119133211,2.7451628088351145
5141.7,763,4300.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,202,0.5952380952380952,6.738794233289646,0.46153846153846156,5.6356487549148095,1.1957441860465117,0.6596638655459105,0.7349397590351607,0.7303030303025877,0.7075812274364582,2.7255469508246657
5054.7,744,4218.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,190,0.5714285714285714,6.793951612903226,0.47494707127734653,5.669354838709677,1.1983641536273115,0.6512605042013766,0.730923694778138,0.7242424242419853,0.6787003610104803,2.717437854951496
5138.7,763,4326.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,201,0.5952380952380952,6.734862385321101,0.46153846153846156,5.669724770642202,1.1878640776699028,0.6470588235291097,0.730923694778138,0.7424242424237925,0.7111913357397054,2.7052800828134176
5051.7,744,4244.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,189,0.5714285714285714,6.78991935483871,0.47494707127734653,5.704301075268817,1.190315739868049,0.6386554621845758,0.7269076305211153,0.7363636363631901,0.6823104693137275,2.696831974846373
5072.7,750,4255.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,194,0.5714285714285714,6.763599999999999,0.47071277346506707,5.673333333333333,1.1921739130434783,0.6428571428568427,0.7269076305211153,0.7181818181813829,0.703971119133211,2.6773448328666696
5258.7,786,4460.0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,221,0.5952380952380952,6.6904580152671755,0.4453069865913903,5.674300254452926,1.1790807174887892,0.6722689075627114,0.7630522088343199,0.7636363636359008,0.7148014440429526,2.6722714676504378
